customer_id,name,gender,age,city,signup_date
140,권광수,M,32,인천,2025-03-11
141,김진호,M,40,광주,2023-11-16
142,하서연,F,32,서울,2023-10-16
143,김예은,F,43,대전,2024-03-10
144,김정자,M,22,광주,2025-04-10
145,조정호,M,59,성남,2024-03-10
146,김숙자,M,61,성남,2026-03-01
147,이정남,M,19,부산,2025-04-20
148,오도현,M,29,고양,2026-08-22
149,김정자,M,20,부산,2024-12-26
150,조미영,M,40,대전,2026-02-10
